MachineID,CalibrationDate,TechnicianID,CalibrationType
M07,2021-01-16,T002,Full
M07,2021-10-20,T003,Full
M07,2021-01-22,T003,Partial
M07,2021-01-18,T002,Partial
M07,2021-04-21,T005,Partial
M07,2021-05-07,T002,Full
M07,2021-11-07,T003,Partial
M07,2021-09-06,T003,Full
M07,2021-11-28,T001,Partial
M07,2021-06-11,T002,Partial
M07,2021-09-01,T004,Partial
M07,2021-11-02,T003,Partial
M07,2021-03-06,T001,Partial
M07,2021-09-28,T001,Full
M07,2021-12-05,T003,Partial
M07,2021-01-22,T003,Partial
M07,2021-08-24,T005,Partial
M07,2021-03-06,T001,Partial
M07,2021-07-18,T001,Partial
M07,2021-03-28,T002,Partial
M07,2021-06-07,T005,Partial
M07,2021-01-27,T003,Full
M07,2021-10-02,T002,Full
M07,2021-06-18,T002,Partial
M07,2021-12-12,T004,Full
M07,2021-02-11,T002,Partial
M07,2021-09-18,T001,Partial
M07,2021-01-28,T002,Partial
M07,2021-01-04,T003,Partial
M08,2021-05-24,T005,Partial
M08,2021-11-14,T002,Partial
M08,2021-04-29,T001,Full
M08,2021-03-26,T001,Partial
M08,2021-11-13,T002,Partial
M08,2021-07-22,T003,Partial
M08,2021-06-01,T003,Full
M08,2021-07-27,T002,Partial
M08,2021-09-30,T002,Full
M08,2021-11-21,T003,Full
M08,2021-01-01,T005,Partial
M08,2021-09-28,T002,Full
M08,2021-01-21,T001,Partial
M08,2021-08-20,T002,Partial
M08,2021-10-24,T002,Partial
M08,2021-05-14,T004,Partial
M08,2021-10-09,T003,Partial
M08,2021-03-09,T004,Partial
M08,2021-07-03,T004,Full
M08,2021-08-17,T005,Partial
M08,2021-12-11,T003,Partial
M08,2021-07-11,T005,Partial
M08,2021-09-04,T004,Partial
M08,2021-07-05,T003,Partial
M08,2021-08-07,T005,Full
M08,2021-01-20,T004,Full
M08,2021-02-14,T004,Full
M08,2021-06-06,T004,Full
M08,2021-10-23,T003,Full
M08,2021-01-15,T004,Partial
M09,2021-09-03,T002,Partial
M09,2021-03-29,T004,Full
M09,2021-05-05,T005,Partial
M09,2021-03-31,T003,Partial
M09,2021-12-05,T001,Partial
M09,2021-01-09,T003,Partial
M09,2021-07-15,T003,Full
M09,2021-02-28,T005,Full
M09,2021-06-28,T004,Partial
M09,2021-06-28,T001,Partial
M09,2021-03-16,T002,Partial
M09,2021-05-07,T005,Partial
M09,2021-11-26,T001,Partial
M09,2021-01-16,T002,Partial
M09,2021-12-24,T005,Partial
M09,2021-01-03,T001,Full
M09,2021-08-16,T004,Partial
M09,2021-10-27,T004,Partial
M09,2021-12-13,T005,Partial
M09,2021-01-17,T004,Partial
M09,2021-11-22,T002,Partial
M09,2021-08-13,T005,Partial
M09,2021-01-05,T002,Full
M09,2021-05-05,T004,Full
M09,2021-05-01,T004,Partial
M09,2021-11-28,T001,Partial
M09,2021-11-02,T005,Partial
M09,2021-11-30,T002,Partial
M09,2021-06-05,T002,Partial
M09,2021-02-09,T001,Full
M10,2021-04-10,T002,Partial
M10,2021-11-22,T003,Partial
M10,2021-12-02,T001,Partial
M10,2021-01-22,T001,Partial
M10,2021-04-29,T002,Full
M10,2021-10-03,T005,Full
M10,2021-01-02,T004,Partial
M10,2021-05-30,T002,Partial
M10,2021-02-20,T005,Partial
M10,2021-02-15,T003,Partial
M10,2021-08-20,T005,Full
M10,2021-08-23,T003,Partial
M10,2021-12-07,T005,Partial
M10,2021-06-06,T004,Partial
M10,2021-06-05,T004,Partial
M10,2021-11-10,T003,Partial
M10,2021-07-07,T003,Full
M10,2021-07-18,T004,Partial
M10,2021-03-22,T002,Partial
M10,2021-03-30,T001,Partial
M10,2021-10-02,T004,Full
M10,2021-03-02,T001,Partial
M10,2021-04-08,T002,Partial
M10,2021-09-19,T004,Partial
M10,2021-10-18,T002,Partial
M10,2021-07-14,T001,Full
M10,2021-04-19,T001,Partial
M10,2021-02-08,T003,Partial
M10,2021-08-11,T004,Full
M10,2021-01-01,T002,Partial
